Current variable name,Description of variable,Type,dataset
Were materials shippped between replicating labs?,"Indicates if the materials were shipped between replications labs. NA indicates no experimental work occurred (e.g., replication work not started or no accepted Registered report).","categorical: Yes, No, NA",Experiment level data dictionar
"If a material was shipped between replicating labs, what was it?","List of reagent materials that were shipped between replications labs (when more than one contracted lab) during the course of the replication attempt. NA indicates no reagent materials were shipped or no experimental work occurred (e.g., replicaiton work not started or no accepted Registered report).","list: RNA, Plasmid, Cells, Cell lysate, Purified protein, Peptide, Embedded tissue, Patient samples, Exosomes, Genomics DNA, NA",Experiment level data dictionar
What types of experimental techniques were utilized?,,,Experiment level data dictionar
Was the original experiment blinded?,,,Experiment level data dictionar
Was the replication experiment blinded?,,,Experiment level data dictionar
Was the original experiment randomized?,,,Experiment level data dictionar
Was the replication experiment randomized?,,,Experiment level data dictionar
Was the original experiment sample size determined a priori?,,,Experiment level data dictionar
Was the replication experiment sample size determined a priori?,,,Experiment level data dictionar
Was a statistical test reported in the original paper?,"Indicates if the experiment from the original paper reported a statistical analysis. For multi-figure experiments if at least one of the figures included a statistical test a 'Yes' response is given. Figures/tables, figure/table legends, methods, main text, and supplemental informaton were examined from the original paper.","categorical: Yes, No",Experiment level data dictionar
What statistical test(s) was reported?,,,Experiment level data dictionar
Was variation of biological repeats reported in the original experiment?,"Indicates if biological variation was reported for the primary outcome(s) of interest in the experiment from the original paper. If only a representative image is reported, a 'No' reponse is given. If multiple representative images are given, but not all replicates are reported, a 'No' response is given. If only a single image is given and it is unclear how many repeats were done a 'No' response is given. Figures/tables, figure/table legends, main text, and supplemental informaton were examined from the original paper.","categorical: Yes, No",Experiment level data dictionar
Notes,Notes about any of the variables where relevant.,string,Experiment level data dictionar
Paper #,Abritary number starting at 1 for each original paper and increasing by 1 for each Paper. Same as Paper level and Experiment level.,numeric,Outcome level data dictionary
Experiment #,Abritary number starting at 1 for each unique Study # and increasing by 1 for each Experiment. Same as Experiment level.,numeric,Outcome level data dictionary
Effect #,Abritary number starting at 1 for each unique Experiment # and increasing by 1 for each Effect.,numeric,Outcome level data dictionary
Internal replication #,"Abritary number starting at 1 for each unique Effect # and increasing by 1 for each Effect where more than one replication was conducted (e.g., same experiment in more than one cell line).",numeric,Outcome level data dictionary
Effect description,"Description explaining the effect (e.g., which two conditions are being compared).",,Outcome level data dictionary
Expected difference based on the original paper?,"Indicates direction of original effect, which are described as positive unless original claim was a null finding.","categorical: Positive, Null",Outcome level data dictionary
Observed difference in replication?,Indicates direction of replication effect relative to the original effect. Null-positive and Null-negative indicate the direction of the null effect releative to the original effect when a statistical test was conducted on the replication data.,"categorical: Positive, Null, Negative, Null-positive, Null-negative",Outcome level data dictionary
Original sample size,"Original sample size of the focal statistical test (e.g., total sample size of the two groups being compared). Unknown indicates original sample size was unable to be determined. NA indicates an original effect that is not directly comparable to the replication data.","numeric or categorical: Unknown, NA",Outcome level data dictionary
Replication sample size,"Replication sample size of the focal statistical test (e.g., total sample size of the two groups being compared).",numeric,Outcome level data dictionary
Was a statistical test reported in the original paper?,Original paper reports statistical test used. NA indicates an original effect that is not directly comparable to the replication data. Notes indicate additional informaiton where necessary.,"categorical: Yes, No, NA",Outcome level data dictionary
What statistical test was reported?,"The type of statistical test reported in the original paper. Unknown indicates a statistical test was conducted, but unknown what type.","categorical: Student's t test, paired t test, Mann-Whitney, between-subjects ANOVA, contrast of between-subjects ANOVA, Log-rank Mantel-Cox test, Spearman's rank correlation, Pearson's correlation, Unknown, NA",Outcome level data dictionary
Statistical test applied to original data,The type of statistical test applied to the original data.,"categorical: Student's t test, Welch's t test, paired t test, one-sample t test, Mann-Whitney, between-subjects ANOVA, contrast of between-subjects ANOVA, Wilcoxon signed-rank test, Kruskal-Wallis rank sum test, Chi-square test, Log-rank Mantel-Cox test, Proportional Hazards Assumption of a Cox Regression, Spearman's rank correlation, NA",Outcome level data dictionary
Original test statistic type,The type of test statistic associated with the statistical test applied to the original data.,"categorical: t, z, F, chi-squared, rho, NA",Outcome level data dictionary
Original test statistic value,Value of test statistic from the statistical test applied to the original data.,numeric,Outcome level data dictionary
Original df1,"Degrees of freedom (df) of between groups (e.g., k-1) from the statistical test applied to the original data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2.",numeric,Outcome level data dictionary
Original df2,"Degrees of freedom (df) of within groups (e.g., n-k) from the statistical test applied to the original data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2.",numeric,Outcome level data dictionary
Original p value,P-value from statistical test applied to the original data.,numeric,Outcome level data dictionary
Replication statistical test,The type of statistical test applied to the replication data.,"categorical: Student's t test, Welch's t test, paired t test, one-sample t test, Mann-Whitney, between-subjects ANOVA, contrast of between-subjects ANOVA, Wilcoxon signed-rank test, Kruskal-Wallis rank sum test, Chi-square test, Log-rank Mantel-Cox test, Proportional Hazards Assumption of a Cox Regression, Spearman's rank correlation, NA",Outcome level data dictionary
Replication test statistic type,The type of test statistic associated with the statistical test applied to the replication data.,"categorical: t, z, F, chi-squared, rho, NA",Outcome level data dictionary
Replication test statistic value,Value of test statistic from the statistical test applied to the replication data.,numeric,Outcome level data dictionary
Replication df1,"Degrees of freedom (df) of between groups (e.g., k-1) from the statistical test applied to the replication data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2.",numeric,Outcome level data dictionary
Replication df2,"Degrees of freedom (df) of within groups (e.g., n-k) from the statistical test applied to the replication data. If only one df reported for test (e.g., Student's t test) the df is reported in df2 and df1 is NA. If test does not report a df (e.g., Mann-Whitney), NA recorded for df1 and df2.",numeric,Outcome level data dictionary
Replication p value,P-value from statistical test applied to the replication data.,numeric,Outcome level data dictionary
Was original data representative?,"Indicates if the original data reported in the original paper was representative (e.g., single Western blot image).","categorical: Yes, No, NA",Outcome level data dictionary
Original point difference (for representative data),"If original data was representative the original point difference between the two groups being tested (if applicable). NA if original data was not representative or if original data was representative but a point difference can not be computed (e.g., a between-subjects ANOVA would have been the statistical test of interest).",numeric,Outcome level data dictionary
Replication raw difference (if original reported representative data),"If original data was representative the replication point difference between the two groups being tested (if applicable). NA if original data was not representative, if original data was representative but a point difference can not be computed (e.g., a between-subjects ANOVA would have been the statistical test of interest), or if original data was representative but a point difference can not be computed for replication data (e.g., general trend is observable, but quantiative data is unreliable).",numeric,Outcome level data dictionary
Replication raw difference type (mean or median),"If original data was representative the type of difference given in the replication raw difference. The type is matched to the replication statistical test (e.g., mean for Student's t test; median for Mann-Whitney). NA if no replication raw difference recorded or if unable to be determine for replication data.","categorical: Mean, Median, NA",Outcome level data dictionary
Replication raw difference lower CI,Lower bounds of the 95% confidence interval of the replication point difference between the two groups (if applicable). NA if no replication raw difference recorded or if unable to be determine for replication data.,numeric,Outcome level data dictionary
Replication raw difference upper CI,Upper bounds of the 95% confidence interval of the replication point difference between the two groups (if applicable). NA if no replication raw difference recorded or if unable to be determine for replication data.,numeric,Outcome level data dictionary
Effect size type,The type of effect size applied to the original and replication data.,"categorical: Cohen's d, Cohen's dz, Cohen's w, Glass' delta, Cliff's delta, Hazard ratio, r, NA",Outcome level data dictionary
Original effect size,Value of the effect size of the original data.,numeric,Outcome level data dictionary
Original lower CI,Lower bounds of the 95% confidence interval for the effect size of the original data.,numeric,Outcome level data dictionary
Original upper CI,Upper bounds of the 95% confidence interval for the effect size of the original data.,numeric,Outcome level data dictionary
Replication effect size,Value of the effect size of the replication data.,numeric,Outcome level data dictionary
Replication lower CI,Lower bounds of the 95% confidence interval for the effect size of the replication data.,numeric,Outcome level data dictionary
Replication upper CI,Upper bounds of the 95% confidence interval for the effect size of the replication data.,numeric,Outcome level data dictionary
Meta-analysis effect size,Value of the effect size of a random effects meta-analysis of the original and replication effects. Note: if Internal replication # is more than 1 all internal replications are included in the meta-analysis.,numeric,Outcome level data dictionary
Meta-analysis lower CI,Lower bounds of the 95% confidence interval for the effect size of the meta-analysis of the original and replication effects.,numeric,Outcome level data dictionary
Meta-analysis upper CI,Upper bounds of the 95% confidence interval for the effect size of the meta-analysis of the original and replication effects.,numeric,Outcome level data dictionary
Meta-analysis p value,P-value of the meta-analysis of the original and replication effects.,numeric,Outcome level data dictionary
Notes,Notes about any of the variables where relevant.,string,Outcome level data dictionary
